nome,sigla,sigla_superior,unidade_organizacional,total_servidores
COORDENACAO DE LICITAÇÃO DE BENS E SERVICOS - REITORIA,CLBS-RE,DCCL-RE,REITORIA,1
COORDENAÇÃO DE BIBLIOTECA - CAMPUS CATOLÉ DO ROCHA,BIBLIOTECA-CR,DDE-CR,CAMPUS CATOLÉ DO ROCHA,1
COORDENAÇÃO DE CONTROLE ACADÊMICO - CAMPUS CABEDELO CENTRO - REITORIA,CCA-CC-RE,COEN-CC-RE,REITORIA,2
COORD ASSUNTOS EDUCACIONAIS-RE,COAED-RE,DES-RE,REITORIA,1
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS ESPERANÇA,CTI-ES,DAPF-ES,CAMPUS ESPERANÇA,4
COORD APOIO LABORATORIOS INFORMATICA-CG,CALIN-CG,DDE-CG,CAMPUS CAMPINA GRANDE,4
COORDENAÇÃO DE ASSISTÊNCIA ESTUDANTIL - CAMPUS ITAPORANGA,CAEST-IP,DDE-IP,CAMPUS ITAPORANGA,2
NÚCLEO DE ATENDIMENTO ÀS PESSOAS COM NECESSIDADES EDUCACIONAIS ESPECÍFICAS - CAMPUS ITAPORANGA,NAPNE-IP,DDE-IP,CAMPUS ITAPORANGA,1
Diretoria de Cultura - Reitoria,DCULT-RE,PROEXC-RE,REITORIA,2
COORDENAÇÃO DOS CURSOS DE LICENCIATURA - REITORIA,CLI-RE,DES-RE,REITORIA,1
Coordenação de Extensão e Cultura - Campus Catolé do Rocha,CEXTCULT-CR,DDE-CR,CAMPUS CATOLÉ DO ROCHA,1
COOR. DO MESTRADO PROF. EM PROPRIEDADE INTELECTUAL E TRANSFERÊNCIA DE TECNOLOGIA PARA INOVACAO,CPROFNIT-CG,DDE-CG,CAMPUS CAMPINA GRANDE,2
COORD CURSO ESPECIALIZAÇÃO EM MATEMÁTICA,CCEM-CZ,CP-CZ,CAMPUS CAJAZEIRAS,2
COORDENAÇÃO DE EXECUÇÃO ORÇAMENTÁRIA E FINANCEIRA - CAMPUS ITAPORANGA,CEOF-IP,DAPF-IP,CAMPUS ITAPORANGA,2
NÚCLEO DE SISTEMAS ADMINISTRATIVOS,NSADM-RE,DGTI-RE,REITORIA,4
COORDENAÇÃO DE PROTOCOLO - CAMPUS ITAPORANGA,PROTOCOLO-IP,DAPF-IP,CAMPUS ITAPORANGA,1
COORDENAÇÃO DE PESQUISA E INOVAÇÃO TECNOLÓGICA - CAMPUS SANTA RITA,CPIT-SR,DG-SR,CAMPUS SANTA RITA,2
COORDENAÇÃO DE EXTENSÃO - CAMPUS SANTA RITA,COEXT-SR,DG-SR,CAMPUS SANTA RITA,1
