nome,sigla,sigla_superior,unidade_organizacional,total_servidores
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM CONSTRUÇÃO DE EDIFÍCIOS ,CCSTCE-JP,UA1-JP,CAMPUS JOÃO PESSOA,2
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM AUTOMAÇÃO INDUSTRIAL ,CCSTAI-JP,UA3-JP,CAMPUS JOÃO PESSOA,3
COORDENAÇÃO DE MANUTENÇÃO E TRANSPORTES - CAMPUS JOÃO PESSOA,CMAT-JP,DAA-JP ,CAMPUS JOÃO PESSOA,7
COORDENAÇÃO DE SUPORTE E MANUTENÇÃO EM TECNOLOGIA DA INFORMAÇÃO - CAMPUS JOÃO PESSOA,CSMTI-JP,DG-JP,CAMPUS JOÃO PESSOA,3
COORDENAÇÃO DE PROTOCOLO - CAMPUS JOÃO PESSOA,PROTOCOLO-JP,DAA-JP ,CAMPUS JOÃO PESSOA,4
COORDENAÇÃO DE PRODUÇÃO GRÁFICA - CAMPUS JOÃO PESSOA ,CPG-JP ,DAA-JP ,CAMPUS JOÃO PESSOA,1
COORDENAÇÃO DE CONVÊNIOS E CONTRATOS  ,CCC-JP ,DLOG-JP,CAMPUS JOÃO PESSOA,3
COORDENAÇÃO DE SEGURANÇA INSTITUCIONAL - CAMPUS JOÃO PESSOA,CSI-JP,DAA-JP ,CAMPUS JOÃO PESSOA,19
COORDENAÇÃO DA ÁREA DE CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS ,CCHT-JP ,UA4-JP,CAMPUS JOÃO PESSOA,6
COORDENAÇÃO DA ÁREA DE CIÊNCIAS DA NATUREZA - UA04 - CAMPUS JP,CACN-JP,UA4-JP,CAMPUS JOÃO PESSOA,4
COORDENAÇÃO DE APOIO ESTUDANTE,CAEST-JP,DAEST-JP,CAMPUS JOÃO PESSOA,12
COORDENAÇÃO DE EDUCAÇÃO FÍSICA ,CEF-JP,UA4-JP,CAMPUS JOÃO PESSOA,1
"COORDENAÇÃO DA ÁREA DE LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS ",CLCT-JP ,UA4-JP,CAMPUS JOÃO PESSOA,7
COORDENAÇÃO DA BIBLIOTECA NILO PEÇANHA - CAMPUS JP,CBNP-JP,DDE-JP,CAMPUS JOÃO PESSOA,15
CURSO SUPERIOR DE BACHARELADO EM ENGENHARIA ELÉTRICA ,CCSBEE-JP ,UA3-JP,CAMPUS JOÃO PESSOA,6
CURSO SUPERIOR DE LICENCIATURA EM QUÍMICA ,CSLQ-JP ,UA4-JP,CAMPUS JOÃO PESSOA,8
COORDENAÇÃO DE CONTABILIDADE - CAMPUS JOÃO PESSOA,CCONT-JP,DOF-JP ,CAMPUS JOÃO PESSOA,2
COORDENAÇÃO DE EXECUÇÃO FINANCEIRA - CAMPUS JOÃO PESSOA,CEFIN-JP,DOF-JP ,CAMPUS JOÃO PESSOA,4
COORDENAÇÃO DE CONTROLE ACADÊMIC0,CCA-JP,DDE-JP,CAMPUS JOÃO PESSOA,11
COORDENAÇÃO DO CURSO SUPERIOR DE BACHARELADO EM ADMINISTRAÇÃO ,CCSBA-JP ,UA5-JP,CAMPUS JOÃO PESSOA,4
COORDENAÇÃO DE PREVENÇÃO E ATENÇÃO À SAÚDE - CAMPUS JP,CPAS-JP,DAEST-JP,CAMPUS JOÃO PESSOA,18
COORDENAÇÃO DE ASSISTÊNCIA ÀS PESSOAS COM NECESSIDADES ESPECÍFICAS - CAMPUS JP ,COAPNE-JP,DAEST-JP,CAMPUS JOÃO PESSOA,8
CAMPUS GUARABIRA,CAMPUS-GB,REITORIA,CAMPUS GUARABIRA,76
DIRETORIA GERAL - CAMPUS PRINCESA ISABEL,DG-PI,CAMPUS-PI,CAMPUS PRINCESA ISABEL,80
COORDENAÇÃO DE PESQUISA E EXTENSÃO - CAMPUS PRINCESA ISABEL,CPE-PI,DDE-PI,CAMPUS PRINCESA ISABEL,1
"COORDENAÇÃO DE COMPRAS, LICITAÇÕES E CONTRATOS - CAMPUS PRINCESA ISABEL",CCLC-PI,DAPF-PI,CAMPUS PRINCESA ISABEL,2
COORDENAÇÃO DE PLANEJAMENTO E CONTABILIDADE - CAMPUS PRINCESA ISABEL,CPC-PI,DAPF-PI,CAMPUS PRINCESA ISABEL,2
"COORDENAÇÃO DE MANUTENÇÃO, SEGURANÇA E TRANSPORTES - CAMPUS PRINCESA ISABEL",CMST-PI,DAPF-PI,CAMPUS PRINCESA ISABEL,1
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS PRINCESA ISABEL,CGP-PI,DG-PI,CAMPUS PRINCESA ISABEL,2
COORDENAÇÃO DE CONTROLE ACADEMICO - CAMPUS PRINCESA ISABEL,CCA-PI,DDE-PI,CAMPUS PRINCESA ISABEL,2
Coordenação de Formação Geral - Campus Princesa Isabel,CFG-PI,DDE-PI,CAMPUS PRINCESA ISABEL,1
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO AMBIENTAL- CAMPUS PRINCESA ISABEL,CCSTGA-PI,DDE-PI,CAMPUS PRINCESA ISABEL,5
COORDENAÇÃO DE ESTÁGIOS - CAMPUS PRINCESA ISABEL,CE-PI,DDE-PI,CAMPUS PRINCESA ISABEL,1
COORDENAÇÃO DO CURSO TÉCNICO DE MANUTENÇÃO E SUPORTE EM INFORMÁTICA - CAMPUS PRINCESA ISABEL,CCTMSI-PI,DDE-PI,CAMPUS PRINCESA ISABEL,7
DIREÇÃO GERAL DO CAMPUS GUARABIRA,DG-GB,CAMPUS-GB,CAMPUS GUARABIRA,76
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS GUARABIRA",DAPF-GB,DG-GB,CAMPUS GUARABIRA,5
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS GUARABIRA,DDE-GB,DG-GB,CAMPUS GUARABIRA,59
COORDENAÇÃO DO CONTROLE ACADÊMICO - CAMPUS GUARABIRA,CCA-GB,DG-GB,CAMPUS GUARABIRA,2
COORDENAÇÃO DE PROTOCOLO - CAMPUS GUARABIRA,PROTOCOLO-GB,DG-GB,CAMPUS GUARABIRA,1
ASSESSORIA ESPECIAL - REITORIA,ASSESP-RE,REITORIA,REITORIA,1
DEPARTAMENTO DE FINANÇAS E CONTABILIDADE-CAMPUS SOUSA,DFC-SS,DAP-SS,CAMPUS SOUSA,7
COORDENACAO PEDAGOGICA - CAMPUS SOUSA,COPED-SS,DDE-SS,CAMPUS SOUSA,3
COORDENAÇÃO DE RELAÇÕES INSTITUCIONAIS E ESTÁGIOS-CAMPUS SOUSA,CRIE-SS,DDE-SS,CAMPUS SOUSA,3
"DEPARTAMENTO DE PRODUÇÃO, PESQUISA E EXTENSAO - CAMPUS SOUSA",DPPE-SS,DDE-SS,CAMPUS SOUSA,20
DEPARTAMENTO DE ASSISTÊNCIA ESTUDANTIL - CAMPUS SOUSA,DAE-SS,DDE-SS,CAMPUS SOUSA,15
COORDENAÇÃO DO CURSO SUPERIOR DE BACHAREL EM MEDICINA VETERINÁRIA-CAMPUS SOUSA,CCSBMV-SS,DES-SS,CAMPUS SOUSA,6
COORDENAÇÃO DO CURSO SUPERIOR DE LICENCIATURA EM QUÍMICA-CAMPUS SOUSA,CCSLQ-SS,DES-SS,CAMPUS SOUSA,4
COORDENAÇÃO DO CURSO SUPERIOR EM TECNOLOGIA DE ALIMENTOS-CAMPUS SOUSA,CCSTA-SS,DES-SS,CAMPUS SOUSA,1
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGO EM AGROECOLOGIA-CAMPUS SOUSA,CCSTAGRO-SS,DES-SS,CAMPUS SOUSA,2
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA - JP ,PPGEE-JP,CCSBEE-JP ,CAMPUS JOÃO PESSOA,2
COORDENAÇÃO DE MANUTENÇÃO DA REITORIA,COMANUT-RE,DCML-RE,REITORIA,2
COORDENAÇÃO DE BIBLIOTECA E CENTRO DE DOCUMENTAÇÃO - CAMPUS PRINCESA ISABEL,CBCD-PI,DDE-PI,CAMPUS PRINCESA ISABEL,3
COORDENAÇÃO DO CURSO TÉCNICO EM CONTABILIDADE INTEGRADO/TÉCNICO -  CAMPUS JP,CCTCONT-JP,UA5-JP,CAMPUS JOÃO PESSOA,3
COORDENAÇÃO DO CURSO TÉCNICO EM MINERAÇÃO - CAMPUS PICUÍ,CCTM-PC,DDE-PC,CAMPUS PICUÍ,5
COORDENAÇÃO DE MANUTENÇÃO SEGURANÇA E TRANSPORTE - CAMPUS CAJAZEIRAS,CMST-CZ,DAPF-CZ,CAMPUS CAJAZEIRAS,3
COORDENAÇÃO DE EDUCAÇÃO À DISTANCIA - CAMPUS PICUÍ,CEAD-PC ,DDE-PC,CAMPUS PICUÍ,1
COORDENAÇÃO DE BIBLIOTECA - CAMPUS CAMPINA GRANDE,CB-CG,DDE-CG,CAMPUS CAMPINA GRANDE,6
DEPARTAMENTO DE ORÇAMENTO E FINANÇAS - CAMPUS CAJAZEIRAS,DEOF-CZ,DAPF-CZ,CAMPUS CAJAZEIRAS,3
DEPARTAMENTO DE GESTÃO DE PESSOAS - CAMPUS CAJAZEIRAS,DGP-CZ,DAPF-CZ,CAMPUS CAJAZEIRAS,3
COORDENAÇÃO DE PATRIMÔNIO - CAMPUS CAJAZEIRAS,PATRIMONIO-CZ,DAPF-CZ,CAMPUS CAJAZEIRAS,2
COORDENAÇÃO DE PLANEJAMENTO - CAMPUS CAJAZEIRAS,COPLAN-CZ,DAPF-CZ,CAMPUS CAJAZEIRAS,2
COORDENAÇÃO DE APOIO AO ESTUDANTE - CAMPUS CAJAZEIRAS,CAEST-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,7
COORDENAÇÃO DE CONTROLE ACADÊMICO - CAMPUS CAJAZEIRAS,CCA-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,4
COORDENAÇÃO DE BIBLIOTECA - CAMPUS CAJAZEIRAS,CB-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,2
COORDENAÇÃO PEDAGÓGICA - CAMPUS CAJAZEIRAS,COPED-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,6
COORDENAÇÃO DA UNIDADE ACADÊMICA DA ÁREA DE FORMAÇÃO GERAL E PROJETOS ESPECIAIS- CAMPUS CAJAZEIRAS,UFGP-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,43
COORDENAÇÃO DE LICENCIATURA EM MATEMÁTICA - CAMPUS CAJAZEIRAS,CLM-CZ,UFGP-CZ,CAMPUS CAJAZEIRAS,1
COORDENAÇÃO DA UNIDADE ACADÊMICA DA ÁREA DE INDÚSTRIA -  CAMPUS CAJAZEIRAS,UNIND-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,45
COORDENAÇÃO DO CURSO SUPERIOR EM TECNOLOGIA DE AUTOMAÇÃO INDUSTRIAL - CAMPUS CAJAZEIRAS,CAIND-CZ,UNIND-CZ,CAMPUS CAJAZEIRAS,1
COORDENAÇÃO DO CURSO TÉCNICO EM EDIFICAÇÕES - CAMPUS CAJAZEIRAS,CTED-CZ,UNIND-CZ,CAMPUS CAJAZEIRAS,2
COORDENAÇÃO DO CURSO TÉCNICO EM ELETROMECÂNICA - CAMPUS CAJAZEIRAS,CTEL-CZ,UNIND-CZ,CAMPUS CAJAZEIRAS,3
COORDENAÇÃO DA UNIDADE ACADÊMICA DA ÁREA DE INFORMÁTICA - CAMPUS CAJAZEIRAS,UNINFO-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,15
COORDENAÇÃO DO CURSO SUPERIOR EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - CAMPUS CAJAZEIRAS,CADS-CZ,UNINFO-CZ,CAMPUS CAJAZEIRAS,2
COORDENAÇÃO DO CURSO TÉCNICO EM INFORMÁTICA - CAMPUS CAJAZEIRAS,CTIN-CZ,UNINFO-CZ,CAMPUS CAJAZEIRAS,1
COORDENAÇÃO DE PESQUISA - CAMPUS CAJAZEIRAS,CP-CZ,DG-CZ,CAMPUS CAJAZEIRAS,3
COORDENAÇÃO DE ESTÁGIO E RELAÇÕES EMPRESARIAIS - CAMPUS CAJAZEIRAS,CERE-CZ,DG-CZ,CAMPUS CAJAZEIRAS,3
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS CAJAZEIRAS,CTI-CZ,DG-CZ,CAMPUS CAJAZEIRAS,3
NÚCLEO DE ATENDIMENTO ÀS PESSOAS COM NECESSIDADES EDUCACIONAIS ESPECÍFICAS - CAMPUS CAJAZEIRAS,NAPNE-CZ,DG-CZ,CAMPUS CAJAZEIRAS,2
COORDENAÇÃO DE PROTOCOLO - CAMPUS CAJAZEIRAS,PROTOCOLO-CZ,DG-CZ,CAMPUS CAJAZEIRAS,5
DEPARTAMENTO DE EDUCAÇÃO À DISTÂNCIA - CAMPUS JOÃO PESSOA,DED-JP,DDE-JP,CAMPUS JOÃO PESSOA,2
COORDENAÇÃO DE PROTOCOLO - CAMPUS SOUSA,PROTOCOLO-SS,COMS-SS,CAMPUS SOUSA,3
COORDENAÇÃO DE EXECUÇÃO ORÇAMENTARIA E FINANCEIRA-CAMPUS SOUSA,CEOF-SS,DFC-SS,CAMPUS SOUSA,2
COORDENAÇÃO DE ALMOXARIFADO-CAMPUS SOUSA,CA-SS,DS-SS,CAMPUS SOUSA,1
COORDENAÇÃO DE PATRIMONIO-CAMPUS SOUSA,CP-SS,DFC-SS,CAMPUS SOUSA,2
COORDENAÇÃO  DE CONTROLE ACADÊMICO - CAMPUS SOUSA,CCA-SS,DDE-SS,CAMPUS SOUSA,3
NÚCLEO DE APOIO AOS SERVIÇOS MÉDICOS E ODONTOLÓGICOS,NASMO-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,3
Coordenação do Curso de Licenciatura em Letras EAD,CLaD-JP,UA4-JP,CAMPUS JOÃO PESSOA,4
PESQUISADOR INSTITUCIONAL - REITORIA,PI-RE,REITORIA,REITORIA,1
COORDENAÇÃO DE LICITAÇÕES-CAMPUS SOUSA,CLICITA-SS,DS-SS,CAMPUS SOUSA,1
DIRETORIA DE ADMINISTRAÇÃO DE MATERIAIS E RECURSOS PATRIMONIAIS - REITORIA,DAMRP-RE,PRAF-RE,REITORIA,6
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS GUARABIRA,CGP-GB,DG-GB,CAMPUS GUARABIRA,2
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS GUARABIRA,CTI-GB,DG-GB,CAMPUS GUARABIRA,2
COORDENAÇÃO DE COMPRAS E LICITAÇÃO - CAMPUS GUARABIRA,CCL-GB,DAPF-GB,CAMPUS GUARABIRA,1
COORDENAÇÃO DE EXTENSÃO - CAMPUS GUARABIRA,COEX-GB,DG-GB,CAMPUS GUARABIRA,1
COORDENAÇÃO DE EXECUÇÃO ORÇAMENTÁRIA E FINANCEIRA - CAMPUS PRINCESA ISABEL,CEOF-PI,DAPF-PI,CAMPUS PRINCESA ISABEL,1
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS PRINCESA ISABEL,CTI-PI,DG-PI,CAMPUS PRINCESA ISABEL,2
COORDENAÇÃO DO CURSO TÉCNICO EM EDIFICAÇÕES  - CAMPUS PRINCESA ISABEL,CCTE-PI,DDE-PI,CAMPUS PRINCESA ISABEL,8
COORDENAÇÃO DO CURSO SUPERIOR EM LICENCIATURA  EM FÍSICA,CCLF-CG,DDE-CG,CAMPUS CAMPINA GRANDE,3
COORDENAÇÃO DO CURSO DE ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - CAMPUS MONTEIRO,CCADS-MT,DDE-MT,CAMPUS MONTEIRO,7
Diretoria de Extensão Popular e Rural - Reitoria,DEXPR-RE,PROEXC-RE,REITORIA,2
COORDENAÇÃO DE REGISTRO E GERENCIAMENTO DE PROJETOS - REITORIA,CRGP-RE,DEXPR-RE,REITORIA,1
Diretoria de Extensão Tecnológica - Reitoria,DEXT-RE,PROEXC-RE,REITORIA,7
COORDENAÇÃO DE EXTENSÃO TECNOLÓGICA - REITORIA,CET-RE,DEXT-RE,REITORIA,1
COORDENAÇÃO DE ARQUIVO CENTRAL - CAMPUS JOÃO PESSOA,CAC-JP,DAA-JP ,CAMPUS JOÃO PESSOA,3
COORDENAÇÃO DE PESQUISA E INOVAÇÃO - CAMPUS MONTEIRO,CPESQI-MT,DDE-MT,CAMPUS MONTEIRO,1
COORDENAÇÃO DO CURSO SUPERIOR EM BACHARELADO EM ADMINISTRAÇÃO PÚBLICA - EAD - CAMPUS JOÃO PESSOA,CSAP-EAD-JP,UA5-JP,CAMPUS JOÃO PESSOA,2
COORDENAÇÃO DE EXTENSÃO -  CAMPUS MONTEIRO,COEXT-MT,DDE-MT,CAMPUS MONTEIRO,1
COORDENAÇÃO DE ESPECIALIZAÇÃO - CAMPUS MONTEIRO,COESP-MT,DDE-MT,CAMPUS MONTEIRO,1
COORDENAÇÃO DO CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - CAMPUS MONTEIRO,CTMSI-MT,DDE-MT,CAMPUS MONTEIRO,3
COORDENAÇÃO DO CURSO TÉCNICO EM INSTRUMENTO MUSICAL - CAMPUS MONTEIRO,CCTIM-MT,DDE-MT,CAMPUS MONTEIRO,9
COORDENAÇÃO DE ALMOXARIFADO E PATRIMÔNIO - CAMPUS CAMPINA GRANDE,CAP-CG,DAPF-CG,CAMPUS CAMPINA GRANDE,6
COORDENAÇÃO  PEDAGÓGICA DE APOIO AO ESTUDANTE - CAMPUS PRINCESA ISABEL,COPAE-PI,DDE-PI,CAMPUS PRINCESA ISABEL,9
CONSELHO DIRETOR - CAMPUS CAMPINA GRANDE,CD-CG,CAMPUS-CG,CAMPUS CAMPINA GRANDE,1
COORDENAÇÃO DE EAD-CAMPUS SOUSA,CEAD-SS,DDE-SS,CAMPUS SOUSA,2
COORDENAÇÃO DO CURSO TÉCNICO DE SECRETARIADO - CAMPUS JP,CCTS-JP,UA5-JP,CAMPUS JOÃO PESSOA,1
COORDENAÇÃO DO CURSO TÉCNICO EM MANUTENÇAO EM SUPORTE EM INFORMÁTICA - CAMPUS PICUÍ,CCTMSI-PC,DDE-PC,CAMPUS PICUÍ,1
COORDENAÇÃO DO CURSO TÉCNICO EM EDIFICAÇÕES - CAMPUS PICUÍ,CCTE-PC,DDE-PC,CAMPUS PICUÍ,4
DEPARTAMENTO DE EDUCAÇÃO PROFISSIONAL - CAMPUS SOUSA,DEP-SS,DDE-SS,CAMPUS SOUSA,21
COORDENAÇÃO DO CURSO TECNICO EM AGROPECUARIA-CAMPUS SOUSA,CCTAGRO-SS,DEP-SS,CAMPUS SOUSA,3
COORDENAÇÃO DO CURSO TÉCNICO EM MEIO AMBIENTE INTEGRADO AO MÉDIO - CAMPUS SOUSA,CCTMA-SS,DEP-SS,CAMPUS SOUSA,1
COORDENAÇÃO DO CURSO TECNICO EM AGROINDUSTRIA-CAMPUS SOUSA,CCTA-SS,DEP-SS,CAMPUS SOUSA,2
COORDENAÇÃO DO CURSO TÉCNICO EM INFORMÁTICA - CAMPUS SOUSA,CCTI-SS,DEP-SS,CAMPUS SOUSA,2
COORDENAÇÃO PROEJA-CAMPUS SOUSA,CPROEJA-SS,DEP-SS,CAMPUS SOUSA,2
COORDENAÇÃO DO CURSO SUPERIOR DE BACHARELADO EM ENGENHARIA CIVIL - CAMPUS CAJAZEIRAS,CBEC-CZ,UNIND-CZ,CAMPUS CAJAZEIRAS,2
NÚCLEO DE ATENDIMENTO AS PESSOAS COM NECESSIDADES ESPECÍFICAS - CAMPUS SOUSA,NAPNE-SS,DAE-SS,CAMPUS SOUSA,1
COMISSÃO PERMANENTE DE SINDICÂNCIA PROCESSOS ADMINISTRATIVOS DISCIPLINAR - REITORIA,COPSPAD-RE,COMISSOES-RE,REITORIA,3
Arquivo Setorial Gestão de Pessoas,ASGP-RE,DGEP-RE,REITORIA,1
"COORDENAÇÃO DOS NÚCLEOS DE APRENDIZAGEM, MONITORIA E TUTORIA - CAMPUS CAMPINA GRANDE",NAPMT-CG,DDE-CG,CAMPUS CAMPINA GRANDE,1
COORDENAÇÃO DO CURSO DE LICENCIATURA EM EDUCAÇÃO FÍSICA - CAMPUS SOUSA,CCLEF-SS,DES-SS,CAMPUS SOUSA,6
COORDENAÇÃO DO CURSO TÉCNICO EM CONTROLE AMBIENTAL-  CAMPUS PRINCESA ISABEL,CCTCA-PI,DDE-PI,CAMPUS PRINCESA ISABEL,9
DEPARTAMENTO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO-CAMPUS SOUSA,DTIC-SS,DAP-SS,CAMPUS SOUSA,6
COORDENAÇÃO DE DESENVOLVIMENTO PROFISSIONAL - CAMPUS JOÃO PESSOA,CDPROF-JP,DGDP-JP,CAMPUS JOÃO PESSOA,3
COORDENAÇÃO DE PROMOÇÃO SOCIAL E QUALIDADE DE VIDA - CAMPUS JOÃO PESSOA,CPSQV-JP,DGDP-JP,CAMPUS JOÃO PESSOA,4
AUDITORIA  - CAMPUS CAJAZEIRAS,AUDITORIA-CZ,CAMPUS-CZ,CAMPUS CAJAZEIRAS,2
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO E COMÉRCIO - CAMPUS GUARABIRA,CSTGC-GB,DDE-GB,CAMPUS GUARABIRA,2
COORDENAÇÃO DO CURSO TÉCNICO EM CONTABILIDADE - CAMPUS GUARABIRA,COTCON-GB,DDE-GB,CAMPUS GUARABIRA,1
COORDENAÇÃO DO CURSO TÉCNICO EM INFORMÁTICA - CAMPUS GUARABIRA,COTINF-GB,DDE-GB,CAMPUS GUARABIRA,2
COORDENAÇÃO DO CURSO TÉCNICO INTEGRADO EM EDIFICAÇÕES - CAMPUS GUARABIRA,COEDIF-GB,DDE-GB,CAMPUS GUARABIRA,2
CAMPUS AVANÇADO PEDRAS DE FOGO,CPF-PF,REITORIA,REITORIA,9
COORDENAÇÃO DE EXTENSÃO - CAMPUS CAJAZEIRAS,CE-CZ,DG-CZ,CAMPUS CAJAZEIRAS,1
COORDENAÇÃO DE ALMOXARIFADO - CAMPUS CAJAZEIRAS,ALMOXARIFADO-CZ,DAPF-CZ,CAMPUS CAJAZEIRAS,1
COORDENAÇÃO DE DIÁRIAS E PASSAGENS - CAMPUS CAJAZEIRAS,SCDP-CZ,DAPF-CZ,CAMPUS CAJAZEIRAS,1
COORDENAÇÃO DE RECURSOS AUDIOVISUAIS - CAMPUS CAJAZEIRAS,CRA-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,2
COORDENAÇÃO DO PROEJA - CAMPUS CAJAZEIRAS,PROEJA-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,1
"DIRETORIA DE COMPRAS, CONTRATOS E LICITAÇÕES - REITORIA",DCCL-RE,PRAF-RE,REITORIA,8
DIRETORIA DE ORÇAMENTO - REITORIA,DOR-RE,PRAF-RE,REITORIA,5
COORDENAÇÃO DE FISCALIZAÇÃO DE CONTRATOS - REITORIA,CFC-RE,DCCL-RE,REITORIA,1
COORDENAÇÃO DE MATEMÁTICA E SUAS TECNOLOGIAS - UA04 - CAMPUS JOÃO PESSOA,CMT-JP,UA4-JP,CAMPUS JOÃO PESSOA,1
COORDENAÇÃO DO PROEJA - CAMPUS CABEDELO,PROEJA-CB,DDE-CB,CAMPUS CABEDELO,1
COORDENAÇÃO DE APOIO ACADÊMICO - CAMPUS CAMPINA GRANDE,CAA-CG,DDE-CG,CAMPUS CAMPINA GRANDE,4
POLO DE EDUCAÇÃO A DISTÂNCIA - CAMPUS  CAMPINA GRANDE,PEAD-CG,DDE-CG,CAMPUS CAMPINA GRANDE,1
COORDENAÇÃO DE ADMINISTRAÇÃO DE PESSOAL - CAMPUS JP ,CAP-JP,DGDP-JP,CAMPUS JOÃO PESSOA,4
DIRETORIA DE LEGISLAÇÃO E ADMINISTRAÇÃO DE PESSOAL - REITORIA,DLAP-RE,DGEP-RE,REITORIA,8
NÚCLEO DE APOIO ÀS PESSOAS COM NECESSIDADES ESPECIAIS - CAMPUS MONTEIRO,NAPNE-MT,DDE-MT,CAMPUS MONTEIRO,1
NÚCLEO DOCUMENTAÇÃO PESQUISA - REITORIA,NDPEP-RE,REITORIA,REITORIA,5
COORDENAÇÃO DE ASSUNTOS ESTUDANTIS - RE,CAEST-RE,PRAE-RE,REITORIA,2
COORDENAÇÃO DE DOCUMENTAÇÃO E ACOMPANHAMENTO DE EDITAIS DA PRE - REITORIA,CDAE-RE,PRE-RE,REITORIA,1
DIVISÃO DE PLANEJAMENTO E EXECUÇÃO DE AUDITORIA - REITORIA,AUDI-PE-RE,AUDI-GE-RE,REITORIA,6
COORDENAÇÃO DE TURNO - CAMPUS MONTEIRO,CT-MT,DDE-MT,CAMPUS MONTEIRO,3
DEPARTAMENTO DE ENSINO SUPERIOR  -CAMPUS CG,DES-CG,DDE-CG,CAMPUS CAMPINA GRANDE,1
DEPARTAMENTO DE ENSINO TÉCNICO - CAMPUS CG,DET-CG,DDE-CG,CAMPUS CAMPINA GRANDE,1
COORDENAÇÃO DE GOVERNANÇA E RELACIONAMENTO DE TI - REITORIA,CGOVTI-RE,DGTI-RE,REITORIA,1
COORDENAÇÃO DE SUPORTE TÉCNICO - REITORIA,CST-RE,DGTI-RE,REITORIA,4
COORDENAÇÃO DE PESQUISA - CAMPUS CAMPINA GRANDE,CP-CG,DDE-CG,CAMPUS CAMPINA GRANDE,1
COORDENAÇÃO DE ASSISTÊNCIA À SAÚDE - CAMPUS CG,CAS-CG,DG-CG,CAMPUS CAMPINA GRANDE,8
NÚCLEO DE ATENDIMENTO AS PESSOAS COM NECESSIDADES ESPECÍFICAS - CAMPUS CABEDELO,NAPNE-CB,DDE-CB,CAMPUS CABEDELO,2
COORDENAÇÃO DE EXTENSÃO - CAMPUS PICUÍ,COEXT-PC,DG-PC,CAMPUS PICUÍ,1
COORDENAÇÃO DE MATEMÁTICA E SUAS TECNOLOGIAS - CAMPUS CAMPINA GRANDE,CMT-CG,DDE-CG,CAMPUS CAMPINA GRANDE,14
COORDENAÇÃO DE CIÊNCIAS EXATAS E DA NATUREZA - CAMPUS CAMPINA GRANDE,CCEN-CG,DDE-CG,CAMPUS CAMPINA GRANDE,20
COORDENAÇÃO DE LINGUAGENS E CÓDIGOS - CAMPUS CAMPINA GRANDE ,CLC-CG,DDE-CG,CAMPUS CAMPINA GRANDE,14
COORDENAÇÃO DE EDUCAÇÃO FÍSICA E DESPORTOS - CAMPUS CAMPINA GRANDE,CEFD-CG,DDE-CG,CAMPUS CAMPINA GRANDE,5
COORDENAÇÃO DE CIÊNCIAS HUMANAS - CAMPUS CAMPINA GRANDE,CCH-CG,DDE-CG,CAMPUS CAMPINA GRANDE,15
COORDENAÇÃO DE EDUCAÇÃO À DISTANCIA  -  CAMPUS CABEDELO,CEAD-CB,DDE-CB,CAMPUS CABEDELO,1
 COORDENAÇÃO DE FORMAÇÃO GERAL E PROJETOS ESPECIAIS -  CAMPUS MONTEIRO,CFG-MT,DDE-MT,CAMPUS MONTEIRO,15
COORDENAÇÃO DE INOVAÇÃO - CAMPUS JOÃO PESSOA,CINOV-JP,DIPPED-JP,CAMPUS JOÃO PESSOA,1
COORDENAÇÃO DO NÚCLEO DE FORMAÇÃO GERAL - CAMPUS GUARABIRA,CNFG-GB,DDE-GB,CAMPUS GUARABIRA,2
DEPARTAMENTO DE BIBLIOTECAS - REITORIA,DBIBLIO-RE,PRE-RE,REITORIA,2
